Country Name,2015,2016,2017,2018,2019,2020
Afghanistan,51.75091455,53.10428376,54.64854116,56.24823145,57.90825169,59.75228064
Angola,22.56173979,23.38553461,24.2308719,25.08505093,25.95138205,26.81357664
Albania,105.135146,104.9671898,104.8706934,104.6122628,104.1675547,103.5711314
United Arab Emirates,125.5547592,126.6440862,127.6865108,128.6985215,129.7051112,130.7700507
Argentina,15.76063274,15.92813508,16.09419079,16.2585101,16.42082662,16.58089261
Armenia,101.1097647,100.6615736,100.1729189,99.63319283,99.07277836,98.54611872
Australia,3.100112596,3.144935531,3.197365841,3.245784982,3.294351419,3.335312311
Austria,104.7345977,105.8733398,106.6113185,107.1318589,107.6093068,108.0570044
Azerbaijan,116.7310768,118.033289,119.2087416,120.2575919,121.2800711,122.1247368
Burundi,417.7238318,424.5843847,434.4078271,447.565109,462.41581,475.8655374
Belgium,372.3314399,374.2213342,375.6657199,377.3795905,379.4247028,381.0635403
Benin,96.95621674,99.85885952,102.8447943,105.8946701,108.9964881,112.1241841
Burkina Faso,68.41381213,70.45138158,72.49948099,74.53480629,76.57762792,78.66456871
Bangladesh,1212.491357,1227.50686,1242.943566,1257.462995,1271.538926,1286.171553
Bulgaria,66.120035,65.65790346,65.18005711,64.71109985,64.25719418,63.87265107
Bahamas,39.23046953,39.55804196,39.86213786,40.15044955,40.41528472,40.60649351
Bosnia and Herz.,68.83445313,67.98800781,67.18802734,66.40876953,65.63888672,64.81263672
Belarus,46.61133719,46.64994482,46.59875953,46.50105922,46.41075062,46.21121293
Belize,15.7768961,16.10315651,16.42669882,16.74993424,17.05808856,17.31350285
Bolivia,10.23731653,10.39694914,10.55620142,10.71439583,10.87170221,11.01833472
Brazil,24.54950563,24.74947512,24.94633495,25.14513899,25.33851766,25.50762538
Brunei,79.96907021,80.83377609,81.64629981,82.40493359,83.12106262,83.81878558
Bhutan,19.49980324,19.65606648,19.82280306,19.98154169,20.12215522,20.25448348
Botswana,4.067494221,4.150858433,4.23806751,4.32553244,4.410745858,4.493148413
Central African Rep.,7.735935343,7.872125911,8.02070853,8.178079553,8.361944204,8.576551414
Canada,3.982215114,4.027563942,4.07616632,4.134148896,4.193949311,4.242576785
Switzerland,209.5958526,211.8972478,213.883834,215.4651922,217.0076296,218.5990597
